"Time","Ambient Temp.","Sphere Temp."
0.000000,27.2,26.0
0.004167,26.3,27.8
0.008333,26.5,37.9
0.012500,26.5,57.9
0.016667,25.7,81.9
0.020833,26.5,110.3
0.025000,25.9,138.1
0.029167,26.5,164.0
0.033333,25.9,188.7
0.037500,27.0,214.4
0.041667,25.9,238.4
0.045833,26.1,260.4
0.050000,26.7,269.7
0.054167,25.3,272.2
0.058333,26.1,271.7
0.062500,27.0,271.3
0.066667,26.5,269.7
0.070833,26.5,267.0
0.075000,27.0,263.9
0.079167,26.5,262.3
0.083333,27.2,259.4
0.087500,26.1,256.1
0.091667,26.5,253.4
0.095833,26.3,251.6
0.100000,27.0,249.7
0.104167,26.5,247.7
0.108333,26.7,244.6
0.112500,26.5,243.0
0.116667,26.7,239.5
0.120833,26.7,238.0
0.125000,27.2,235.8
0.129167,26.5,234.3
0.133333,26.5,231.4
0.137500,26.3,229.0
0.141667,26.1,227.5
0.145833,27.2,225.5
0.150000,26.5,223.4
0.154167,26.3,220.9
0.158333,26.7,219.5
0.162500,27.0,218.3
0.166667,26.5,215.0
0.170833,26.1,213.7
0.175000,25.9,211.9
0.179167,25.5,209.8
0.183333,27.0,208.0
0.187500,25.9,207.0
0.191667,25.9,204.3
0.195833,27.0,203.5
0.200000,25.7,201.6
0.204167,27.0,200.0
0.208333,26.7,198.9
0.212500,25.9,196.7
0.216667,26.7,195.0
0.220833,25.1,193.6
0.225000,25.9,192.2
0.229167,26.1,190.7
0.233333,25.9,189.1
0.237500,27.2,187.2
0.241667,25.1,186.2
0.245833,26.5,184.8
0.250000,25.5,183.7
0.254167,25.5,181.1
0.258333,26.1,179.8
0.262500,26.7,179.2
0.266667,26.7,177.8
0.270833,26.1,176.3
0.275000,26.5,175.3
0.279167,26.1,174.3
0.283333,26.1,173.2
0.287500,25.3,170.6
0.291667,26.7,169.7
0.295833,25.7,168.3
0.300000,25.3,168.1
0.304167,26.1,166.9
0.308333,27.0,165.4
0.312500,25.7,164.2
0.316667,25.9,163.0
0.320833,24.9,161.1
0.325000,26.1,160.7
0.329167,25.5,159.0
0.333333,25.5,157.0
0.337500,25.5,156.4
0.341667,26.5,155.8
0.345833,26.3,154.1
0.350000,25.9,152.7
0.354167,25.7,152.7
0.358333,26.7,151.4
0.362500,26.1,149.4
0.366667,26.7,149.2
0.370833,25.5,148.4
0.375000,26.5,146.7
0.379167,26.1,146.1
0.383333,25.5,144.0
0.387500,25.7,142.8
0.391667,26.7,142.4
0.395833,26.1,142.2
0.400000,26.5,140.9
0.404167,25.3,139.3
0.408333,25.3,138.5
0.412500,25.3,138.1
0.416667,24.9,136.4
0.420833,25.3,135.2
0.425000,24.5,134.8
0.429167,26.7,134.0
0.433333,25.7,132.7
0.437500,25.3,131.3
0.441667,25.7,131.1
0.445833,25.9,130.3
0.450000,25.3,129.2
0.454167,25.3,128.4
0.458333,26.1,127.4
0.462500,26.3,126.3
0.466667,25.9,125.7
0.470833,25.5,124.5
0.475000,26.1,123.5
0.479167,25.9,122.9
0.483333,25.9,122.0
0.487500,26.1,121.2
0.491667,25.7,120.8
0.495833,25.9,120.4
0.500000,25.9,119.4
0.504167,25.5,118.7
0.508333,25.7,117.7
0.512500,25.1,116.9
0.516667,25.9,115.4
0.520833,25.3,115.4
0.525000,26.5,114.4
0.529167,25.9,113.4
0.533333,25.3,113.4
0.537500,25.7,112.0
0.541667,25.5,112.0
0.545833,25.5,111.3
0.550000,25.7,109.7
0.554167,26.3,109.1
0.558333,25.5,108.9
0.562500,24.9,107.8
0.566667,26.1,106.6
0.570833,25.5,106.4
0.575000,25.9,105.6
0.579167,25.7,105.2
0.583333,25.1,104.5
0.587500,24.9,103.3
0.591667,26.3,102.9
0.595833,25.9,103.3
0.600000,25.9,101.9
0.604167,25.1,101.3
0.608333,25.9,100.4
0.612500,25.5,100.0
0.616667,25.7,99.2
0.620833,26.5,99.0
0.625000,25.7,99.0
0.629167,25.9,98.0
0.633333,26.1,97.4
0.637500,25.7,95.5
0.641667,25.5,96.3
0.645833,26.1,95.1
0.650000,26.1,94.7
0.654167,25.3,93.9
0.658333,25.5,93.6
0.662500,25.1,93.2
0.666667,25.7,92.4
0.670833,25.5,92.0
0.675000,25.7,91.8
0.679167,25.7,90.8
0.683333,25.9,90.8
0.687500,25.5,89.3
0.691667,25.5,89.5
0.695833,26.1,88.9
0.700000,25.3,88.3
0.704167,25.9,87.3
0.708333,25.3,86.9
0.712500,25.5,86.7
0.716667,26.1,86.7
0.720833,26.1,85.6
0.725000,25.5,85.8
0.729167,25.3,84.6
0.733333,25.5,84.8
0.737500,26.1,84.8
0.741667,25.7,84.4
0.745833,25.9,83.0
0.750000,26.1,82.5
0.754167,24.7,82.3
0.758333,25.3,81.5
0.762500,25.9,81.3
0.766667,24.9,80.9
0.770833,25.1,79.9
0.775000,25.9,79.9
0.779167,25.7,79.3
0.783333,25.3,78.8
0.787500,25.1,78.4
0.791667,25.1,78.6
0.795833,26.3,77.4
0.800000,25.7,78.2
0.804167,25.7,76.8
0.808333,24.9,77.2
0.812500,25.5,76.8
0.816667,25.1,76.0
0.820833,24.9,75.8
0.825000,25.5,75.6
0.829167,25.9,74.5
0.833333,25.1,74.7
0.837500,25.7,74.1
0.841667,25.1,73.7
0.845833,25.3,73.5
0.850000,25.3,73.1
0.854167,25.3,72.7
0.858333,25.1,72.7
0.862500,26.1,71.9
0.866667,26.3,71.4
0.870833,25.3,71.6
0.875000,25.7,71.0
0.879167,25.9,70.2
0.883333,25.3,69.8
0.887500,25.7,69.6
0.891667,24.9,69.2
0.895833,25.5,70.0
0.900000,26.1,69.2
0.904167,25.9,68.4
0.908333,25.1,68.1
0.912500,25.5,67.9
0.916667,26.1,67.3
0.920833,25.3,67.3
0.925000,25.5,67.1
0.929167,25.3,66.3
0.933333,25.9,66.9
0.937500,25.5,66.1
0.941667,25.7,66.1
0.945833,25.9,66.1
0.950000,25.7,64.7
0.954167,24.7,64.7
0.958333,25.5,64.4
0.962500,25.3,64.4
0.966667,26.3,63.4
0.970833,25.3,64.0
0.975000,25.3,64.0
0.979167,25.7,63.4
0.983333,25.3,62.8
0.987500,25.3,62.2
0.991667,25.7,62.2
0.995833,24.9,62.0
1.000000,25.5,61.6
1.004167,25.5,61.0
1.008333,25.5,61.2
1.012500,25.5,61.2
1.016667,25.1,61.0
1.020833,25.3,60.3
1.025000,25.1,60.1
1.029167,25.5,60.3
1.033333,25.7,60.1
1.037500,25.3,59.5
1.041667,26.7,58.7
1.045833,27.2,59.3
1.050000,26.5,58.5
1.054167,25.9,58.9
1.058333,25.9,58.3
1.062500,25.9,57.9
1.066667,26.3,58.1
1.070833,27.0,58.3
1.075000,26.7,57.7
1.079167,25.9,57.2
1.083333,26.7,56.2
1.087500,27.6,56.6
1.091667,25.9,56.2
1.095833,25.9,55.6
1.100000,25.9,56.6
1.104167,25.3,55.0
1.108333,25.5,54.6
1.112500,25.1,55.4
1.116667,26.5,55.4
1.120833,24.7,55.2
1.125000,26.7,54.8
1.129167,25.3,54.4
1.133333,25.5,53.5
1.137500,25.9,53.5
1.141667,26.7,54.2
1.145833,25.9,54.4
1.150000,24.9,53.3
1.154167,27.2,53.1
1.158333,25.9,52.7
1.162500,26.3,52.7
1.166667,25.3,51.9
1.170833,25.3,51.7
1.175000,25.7,51.9
1.179167,26.1,52.1
1.183333,25.5,51.7
1.187500,26.1,51.7
1.191667,25.7,51.7
1.195833,25.5,51.3
1.200000,25.5,51.3
1.204167,25.3,50.9
1.208333,25.9,50.5
1.212500,27.0,51.1
1.216667,26.1,50.3
1.220833,26.1,50.1
1.225000,26.3,49.8
1.229167,25.3,49.8
1.233333,25.3,50.1
1.237500,25.3,49.6
1.241667,25.9,49.2
1.245833,25.1,49.2
1.250000,25.1,49.6
1.254167,25.3,49.4
1.258333,25.1,48.6
1.262500,26.3,48.2
1.266667,26.7,48.2
1.270833,25.9,47.6
1.275000,26.3,48.0
1.279167,25.1,48.0
1.283333,25.5,47.8
1.287500,24.9,46.8
1.291667,25.1,47.4
1.295833,25.9,47.2
1.300000,26.1,47.4
1.304167,26.3,46.8
1.308333,26.7,46.3
1.312500,26.7,46.1
1.316667,27.4,46.8
1.320833,26.5,46.8
1.325000,27.2,45.5
1.329167,27.2,46.8
1.333333,25.9,45.7
1.337500,26.3,46.1
1.341667,26.1,45.1
1.345833,27.2,45.7
1.350000,26.5,44.7
1.354167,26.7,45.3
1.358333,26.5,44.9
1.362500,27.0,45.1
1.366667,26.7,45.3
1.370833,26.5,44.5
1.375000,26.7,44.5
1.379167,26.3,44.7
1.383333,27.4,44.5
1.387500,27.2,44.1
1.391667,27.2,43.7
1.395833,27.0,43.9
1.400000,27.2,43.7
1.404167,26.1,44.3
1.408333,26.5,44.3
1.412500,27.0,43.9
1.416667,25.9,43.1
1.420833,26.3,43.3
1.425000,25.5,43.3
1.429167,25.3,42.9
1.433333,26.1,43.1
1.437500,26.7,42.2
1.441667,25.9,42.9
1.445833,26.1,42.6
1.450000,25.9,42.0
1.454167,25.5,41.6
1.458333,24.9,41.6
1.462500,25.9,41.8
1.466667,25.9,42.2
1.470833,25.9,41.8
1.475000,26.3,42.0
1.479167,25.9,41.8
1.483333,25.3,41.8
1.487500,26.3,40.8
1.491667,25.5,41.8
1.495833,26.1,41.6
1.500000,26.1,41.6
1.504167,26.1,40.4
